"COMMUNITY AREA","YEAR","VALUE","GI_VAR"
"50. Pullman","1990",10.6858594411516,"Pct College Educated"
"50. Pullman","2000",11.6,"Pct College Educated"
"50. Pullman","2010",18.8333333333,"Pct College Educated"
"50. Pullman","2008 - 2012",20.2265372168285,"Pct College Educated"
"50. Pullman","2013 - 2017",28.728813559322,"Pct College Educated"
"51. South Deering","1970",5.5,"Pct College Educated"
"51. South Deering","1980",7.2,"Pct College Educated"
"51. South Deering","1990",9.02585631142067,"Pct College Educated"
"51. South Deering","2000",10.4,"Pct College Educated"
"51. South Deering","2010",11.85,"Pct College Educated"
"51. South Deering","2008 - 2012",12.1197489135683,"Pct College Educated"
"51. South Deering","2013 - 2017",13.4759245601096,"Pct College Educated"
"52. East Side","1970",3.6,"Pct College Educated"
"52. East Side","1980",4.9,"Pct College Educated"
"52. East Side","1990",5.87833219412167,"Pct College Educated"
"52. East Side","2000",7.1,"Pct College Educated"
"52. East Side","2010",9.05,"Pct College Educated"
"52. East Side","2008 - 2012",12.3240694434522,"Pct College Educated"
"52. East Side","2013 - 2017",12.9357798165138,"Pct College Educated"
"53. West Pullman","1970",3.8,"Pct College Educated"
"53. West Pullman","1980",6.4,"Pct College Educated"
"53. West Pullman","1990",8.78362842032651,"Pct College Educated"
"53. West Pullman","2000",10.3,"Pct College Educated"
"53. West Pullman","2010",14.075,"Pct College Educated"
"53. West Pullman","2008 - 2012",15.1611374407583,"Pct College Educated"
"53. West Pullman","2013 - 2017",15.907505232732,"Pct College Educated"
"54. Riverdale","1970",1.3,"Pct College Educated"
"54. Riverdale","1980",3.8,"Pct College Educated"
"54. Riverdale","1990",4.56841642872831,"Pct College Educated"
"54. Riverdale","2000",2.7,"Pct College Educated"
"54. Riverdale","2010",6.05,"Pct College Educated"
"54. Riverdale","2008 - 2012",7.7297823968821,"Pct College Educated"
"54. Riverdale","2013 - 2017",4.20347243374962,"Pct College Educated"
"55. Hegewisch","1970",2.8,"Pct College Educated"
"55. Hegewisch","1980",2.7,"Pct College Educated"
"55. Hegewisch","1990",6.16864742501415,"Pct College Educated"
"55. Hegewisch","2000",10.8,"Pct College Educated"
"55. Hegewisch","2010",15.4,"Pct College Educated"
"55. Hegewisch","2008 - 2012",19.2372751037982,"Pct College Educated"
"55. Hegewisch","2013 - 2017",15.8266887317587,"Pct College Educated"
"56. Garfield Ridge","1970",3.1,"Pct College Educated"
"56. Garfield Ridge","1980",5.4,"Pct College Educated"
"56. Garfield Ridge","1990",8.37988826815642,"Pct College Educated"
"56. Garfield Ridge","2000",11.4,"Pct College Educated"
"56. Garfield Ridge","2010",16.07,"Pct College Educated"
"56. Garfield Ridge","2008 - 2012",18.8280581693755,"Pct College Educated"
"56. Garfield Ridge","2013 - 2017",21.1103577553544,"Pct College Educated"
"57. Archer Heights","1970",4.6,"Pct College Educated"
"57. Archer Heights","1980",6,"Pct College Educated"
"57. Archer Heights","1990",8.77114870881567,"Pct College Educated"
"57. Archer Heights","2000",8.2,"Pct College Educated"
"57. Archer Heights","2010",13.5,"Pct College Educated"
"57. Archer Heights","2008 - 2012",9.38670109748225,"Pct College Educated"
"57. Archer Heights","2013 - 2017",12.2180221924156,"Pct College Educated"
"58. Brighton Park","1970",2.9,"Pct College Educated"
"58. Brighton Park","1980",5.7,"Pct College Educated"
"58. Brighton Park","1990",7.62454732308897,"Pct College Educated"
"58. Brighton Park","2000",6.9,"Pct College Educated"
"58. Brighton Park","2010",8.71,"Pct College Educated"
"58. Brighton Park","2008 - 2012",8.87083402420826,"Pct College Educated"
"58. Brighton Park","2013 - 2017",9.86356098296397,"Pct College Educated"
"59. McKinley Park","1970",2.7,"Pct College Educated"
"59. McKinley Park","1980",4.6,"Pct College Educated"
"59. McKinley Park","1990",7.0343625498008,"Pct College Educated"
"59. McKinley Park","2000",9.6,"Pct College Educated"
"59. McKinley Park","2010",12.22,"Pct College Educated"
"59. McKinley Park","2008 - 2012",14.1763565891473,"Pct College Educated"
"59. McKinley Park","2013 - 2017",21.2633624878523,"Pct College Educated"
"60. Bridgeport","1970",2.7,"Pct College Educated"
"60. Bridgeport","1980",4.9,"Pct College Educated"
"60. Bridgeport","1990",10.4606272145539,"Pct College Educated"
"60. Bridgeport","2000",16.9,"Pct College Educated"
"60. Bridgeport","2010",22.71,"Pct College Educated"
"60. Bridgeport","2008 - 2012",23.6245803804551,"Pct College Educated"
"60. Bridgeport","2013 - 2017",30.2545957377583,"Pct College Educated"
"61. New City","1970",1.6,"Pct College Educated"
"61. New City","1980",3.6,"Pct College Educated"
"61. New City","1990",3.82492718074506,"Pct College Educated"
"61. New City","2000",6.1,"Pct College Educated"
"61. New City","2010",7.23529411765,"Pct College Educated"
"61. New City","2008 - 2012",7.6301537386443,"Pct College Educated"
"61. New City","2013 - 2017",7.57274151878362,"Pct College Educated"
"62. West Elsdon","1970",3.4,"Pct College Educated"
"62. West Elsdon","1980",7.1,"Pct College Educated"
"62. West Elsdon","1990",8.25637642919965,"Pct College Educated"
"62. West Elsdon","2000",9.1,"Pct College Educated"
"62. West Elsdon","2010",13.15,"Pct College Educated"
"62. West Elsdon","2008 - 2012",12.0771253286591,"Pct College Educated"
"62. West Elsdon","2013 - 2017",10.6162882440607,"Pct College Educated"
"63. Gage Park","1970",3.9,"Pct College Educated"
"63. Gage Park","1980",6.5,"Pct College Educated"
"63. Gage Park","1990",5.87388252234955,"Pct College Educated"
"63. Gage Park","2000",5.8,"Pct College Educated"
"63. Gage Park","2010",6.4,"Pct College Educated"
"63. Gage Park","2008 - 2012",6.64996691558748,"Pct College Educated"
"63. Gage Park","2013 - 2017",5.70621468926554,"Pct College Educated"
"64. Clearing","1970",2.7,"Pct College Educated"
"64. Clearing","1980",5.2,"Pct College Educated"
"64. Clearing","1990",8.35274542429284,"Pct College Educated"
"64. Clearing","2000",11.3,"Pct College Educated"
"64. Clearing","2010",14.0285714286,"Pct College Educated"
"64. Clearing","2008 - 2012",16.991370292887,"Pct College Educated"
"64. Clearing","2013 - 2017",17.9624971415504,"Pct College Educated"
"65. West Lawn","1970",4.9,"Pct College Educated"
"65. West Lawn","1980",7.1,"Pct College Educated"
"65. West Lawn","1990",9.03206291591047,"Pct College Educated"
"65. West Lawn","2000",11.4,"Pct College Educated"
"65. West Lawn","2010",8.28333333333,"Pct College Educated"
"65. West Lawn","2008 - 2012",9.06610378912685,"Pct College Educated"
"65. West Lawn","2013 - 2017",11.0692203287589,"Pct College Educated"
"66. Chicago Lawn","1970",6.4,"Pct College Educated"
"66. Chicago Lawn","1980",9.5,"Pct College Educated"
"66. Chicago Lawn","1990",10.1524379984521,"Pct College Educated"
"66. Chicago Lawn","2000",9.4,"Pct College Educated"
"66. Chicago Lawn","2010",8.32727272727,"Pct College Educated"
"66. Chicago Lawn","2008 - 2012",9.12841160357744,"Pct College Educated"
"66. Chicago Lawn","2013 - 2017",8.42184652127459,"Pct College Educated"
"67. West Englewood","1970",2.9,"Pct College Educated"
"67. West Englewood","1980",3.5,"Pct College Educated"
"67. West Englewood","1990",5.31444071668213,"Pct College Educated"
"67. West Englewood","2000",4.8,"Pct College Educated"
"67. West Englewood","2010",6.26315789474,"Pct College Educated"
"67. West Englewood","2008 - 2012",6.90140161986517,"Pct College Educated"
"67. West Englewood","2013 - 2017",8.1140791323559,"Pct College Educated"
"68. Englewood","1970",2,"Pct College Educated"
"68. Englewood","1980",3.3,"Pct College Educated"
"68. Englewood","1990",4.11977875262254,"Pct College Educated"
"68. Englewood","2000",5.2,"Pct College Educated"
"68. Englewood","2010",6.63636363636,"Pct College Educated"
"68. Englewood","2008 - 2012",5.40110226576852,"Pct College Educated"
"68. Englewood","2013 - 2017",7.06553445258313,"Pct College Educated"
"69. Greater Grand Crossing","1970",5.1,"Pct College Educated"
"69. Greater Grand Crossing","1980",6.8,"Pct College Educated"
"69. Greater Grand Crossing","1990",10.4934589844527,"Pct College Educated"
"69. Greater Grand Crossing","2000",12.4,"Pct College Educated"
"69. Greater Grand Crossing","2010",17.8,"Pct College Educated"
"69. Greater Grand Crossing","2008 - 2012",17.7394805322335,"Pct College Educated"
"69. Greater Grand Crossing","2013 - 2017",16.4242365860707,"Pct College Educated"
"70. Ashburn","1970",6.7,"Pct College Educated"
"70. Ashburn","1980",8.6,"Pct College Educated"
"70. Ashburn","1990",12.3654637543526,"Pct College Educated"
"70. Ashburn","2000",19,"Pct College Educated"
"70. Ashburn","2010",20.2375,"Pct College Educated"
"70. Ashburn","2008 - 2012",19.3888618767999,"Pct College Educated"
"70. Ashburn","2013 - 2017",20.8242159008023,"Pct College Educated"
"71. Auburn Gresham","1970",5.6,"Pct College Educated"
"71. Auburn Gresham","1980",7.6,"Pct College Educated"
"71. Auburn Gresham","1990",8.07054904851612,"Pct College Educated"
"71. Auburn Gresham","2000",10.4,"Pct College Educated"
"71. Auburn Gresham","2010",12.48,"Pct College Educated"
"71. Auburn Gresham","2008 - 2012",12.2107927442645,"Pct College Educated"
"71. Auburn Gresham","2013 - 2017",15.4133299301279,"Pct College Educated"
"72. Beverly","1970",23.6,"Pct College Educated"
"72. Beverly","1980",33.1,"Pct College Educated"
"72. Beverly","1990",44.2372170997485,"Pct College Educated"
"72. Beverly","2000",49.8,"Pct College Educated"
"72. Beverly","2010",54.0428571429,"Pct College Educated"
"72. Beverly","2008 - 2012",55.1147776183644,"Pct College Educated"
"72. Beverly","2013 - 2017",55.0367369360709,"Pct College Educated"
"73. Washington Heights","1970",8.2,"Pct College Educated"
"73. Washington Heights","1980",10.8,"Pct College Educated"
"73. Washington Heights","1990",12.4700699166746,"Pct College Educated"
"73. Washington Heights","2000",16.4,"Pct College Educated"
"73. Washington Heights","2010",15.1625,"Pct College Educated"
"73. Washington Heights","2008 - 2012",17.895854285395,"Pct College Educated"
"73. Washington Heights","2013 - 2017",21.7842105263158,"Pct College Educated"
"74. Mount Greenwood","1970",7.2,"Pct College Educated"
"74. Mount Greenwood","1980",10.6,"Pct College Educated"
"74. Mount Greenwood","1990",16.0046547711404,"Pct College Educated"
"74. Mount Greenwood","2000",20.9,"Pct College Educated"
"74. Mount Greenwood","2010",29.075,"Pct College Educated"
"74. Mount Greenwood","2008 - 2012",32.1880499455292,"Pct College Educated"
"74. Mount Greenwood","2013 - 2017",35.6323657359804,"Pct College Educated"
"75. Morgan Park","1970",11.9,"Pct College Educated"
"75. Morgan Park","1980",16.4,"Pct College Educated"
"75. Morgan Park","1990",21.9391657351297,"Pct College Educated"
"75. Morgan Park","2000",27.2,"Pct College Educated"
"75. Morgan Park","2010",34,"Pct College Educated"
"75. Morgan Park","2008 - 2012",32.1303388290277,"Pct College Educated"
"75. Morgan Park","2013 - 2017",34.4568795260039,"Pct College Educated"
"76. O'Hare","1970",11.3,"Pct College Educated"
"76. O'Hare","1980",18.4,"Pct College Educated"
"76. O'Hare","1990",24.4338768115942,"Pct College Educated"
"76. O'Hare","2000",29.3,"Pct College Educated"
"76. O'Hare","2010",33.5333333333,"Pct College Educated"
"76. O'Hare","2008 - 2012",30.1688182720953,"Pct College Educated"
"76. O'Hare","2013 - 2017",36.3955771416761,"Pct College Educated"
"77. Edgewater","1970",16.7,"Pct College Educated"
"77. Edgewater","1980",25.9,"Pct College Educated"
"77. Edgewater","1990",35.1622857400275,"Pct College Educated"
"77. Edgewater","2000",41.9,"Pct College Educated"
"77. Edgewater","2010",52.2529411765,"Pct College Educated"
"77. Edgewater","2008 - 2012",54.5359177931955,"Pct College Educated"
"77. Edgewater","2013 - 2017",55.2584989803465,"Pct College Educated"
"City of Chicago","1970",64627.02,"Median Family Income"
"City of Chicago","1980",55836.85,"Median Family Income"
"City of Chicago","1990",57575.625,"Median Family Income"
"City of Chicago","2000",60796.252,"Median Family Income"
"City of Chicago","2010",59951.912,"Median Family Income"
"City of Chicago","2008 - 2012",57818.596,"Median Family Income"
"City of Chicago","2013 - 2017",61618,"Median Family Income"
"1. Rogers Park","1970",71340.86,"Median Family Income"
"1. Rogers Park","1980",55863.616,"Median Family Income"
"1. Rogers Park","1990",51243.75,"Median Family Income"
"1. Rogers Park","2000",49417.944,"Median Family Income"
"1. Rogers Park","2010",52921.0876363432,"Median Family Income"
"1. Rogers Park","2008 - 2012",55824.7503781588,"Median Family Income"
"1. Rogers Park","2013 - 2017",51594.1675529142,"Median Family Income"
"2. West Ridge","1970",85380.61,"Median Family Income"
"2. West Ridge","1980",74674.166,"Median Family Income"
"2. West Ridge","1990",68983.125,"Median Family Income"
"2. West Ridge","2000",67212.559,"Median Family Income"
"2. West Ridge","2010",65287.9414286196,"Median Family Income"
"2. West Ridge","2008 - 2012",60693.2996725691,"Median Family Income"
"2. West Ridge","2013 - 2017",58222.7879649229,"Median Family Income"
"3. Uptown","1970",53786.44,"Median Family Income"
"3. Uptown","1980",42989.17,"Median Family Income"
"3. Uptown","1990",41958.75,"Median Family Income"
"3. Uptown","2000",51663.438,"Median Family Income"
"3. Uptown","2010",69463.5746666292,"Median Family Income"
"3. Uptown","2008 - 2012",73266.9619097704,"Median Family Income"
"3. Uptown","2013 - 2017",76840.1854945503,"Median Family Income"
"4. Lincoln Square","1970",70962.26,"Median Family Income"
"4. Lincoln Square","1980",59985.58,"Median Family Income"
"4. Lincoln Square","1990",58880.625,"Median Family Income"
"4. Lincoln Square","2000",68609.945,"Median Family Income"
"4. Lincoln Square","2010",83993.761090858,"Median Family Income"
"4. Lincoln Square","2008 - 2012",80032.8480557541,"Median Family Income"
"4. Lincoln Square","2013 - 2017",97250.2835771642,"Median Family Income"
"5. North Center","1970",66886,"Median Family Income"
"5. North Center","1980",57579.614,"Median Family Income"
"5. North Center","1990",65135.625,"Median Family Income"
"5. North Center","2000",88486.409,"Median Family Income"
"5. North Center","2010",133351.520571268,"Median Family Income"
"5. North Center","2008 - 2012",135309.809108935,"Median Family Income"
"5. North Center","2013 - 2017",144200.217926619,"Median Family Income"
"6. Lake View","1970",66154.04,"Median Family Income"
"6. Lake View","1980",61609.384,"Median Family Income"
"6. Lake View","1990",86214.375,"Median Family Income"
"6. Lake View","2000",120183.734,"Median Family Income"
"6. Lake View","2010",142064.178235228,"Median Family Income"
"6. Lake View","2008 - 2012",146088.646549112,"Median Family Income"
"6. Lake View","2013 - 2017",156550.902248914,"Median Family Income"
"7. Lincoln Park","1970",60904.12,"Median Family Income"
"7. Lincoln Park","1980",72889.766,"Median Family Income"
"7. Lincoln Park","1990",140784.375,"Median Family Income"
"7. Lincoln Park","2000",189108.162,"Median Family Income"
"7. Lincoln Park","2010",195608.596,"Median Family Income"
"7. Lincoln Park","2008 - 2012",191840.384342852,"Median Family Income"
"7. Lincoln Park","2013 - 2017",177314.920571882,"Median Family Income"
"8. Near North Side","1970",71138.94,"Median Family Income"
"8. Near North Side","1980",69576.73,"Median Family Income"
"8. Near North Side","1990",116844.375,"Median Family Income"
"8. Near North Side","2000",133668.082,"Median Family Income"
"8. Near North Side","2010",137264.832210408,"Median Family Income"
"8. Near North Side","2008 - 2012",151077.715099542,"Median Family Income"
"8. Near North Side","2013 - 2017",170553.781424372,"Median Family Income"
"9. Edison Park","1970",85412.16,"Median Family Income"
"9. Edison Park","1980",81264.55,"Median Family Income"
"9. Edison Park","1990",92878.125,"Median Family Income"
"9. Edison Park","2000",98278.072,"Median Family Income"
"9. Edison Park","2010",104984.972,"Median Family Income"
"9. Edison Park","2008 - 2012",102746.735361111,"Median Family Income"
"9. Edison Park","2013 - 2017",133150.797875871,"Median Family Income"
"10. Norwood Park","1970",86440.69,"Median Family Income"
"10. Norwood Park","1980",82070.504,"Median Family Income"
"10. Norwood Park","1990",87654.375,"Median Family Income"
"10. Norwood Park","2000",95150.318,"Median Family Income"
"10. Norwood Park","2010",90104.0148571268,"Median Family Income"
"10. Norwood Park","2008 - 2012",91057.8894873563,"Median Family Income"
"10. Norwood Park","2013 - 2017",98423.4070163862,"Median Family Income"
"11. Jefferson Park","1970",77947.43,"Median Family Income"
"11. Jefferson Park","1980",74596.842,"Median Family Income"
"11. Jefferson Park","1990",83441.25,"Median Family Income"
"11. Jefferson Park","2000",86370.408,"Median Family Income"
"11. Jefferson Park","2010",84705.764,"Median Family Income"
"11. Jefferson Park","2008 - 2012",83526.0560015689,"Median Family Income"
"11. Jefferson Park","2013 - 2017",87135.1496987486,"Median Family Income"
"12. Forest Glen","1970",106437.08,"Median Family Income"
"12. Forest Glen","1980",94130.074,"Median Family Income"
"12. Forest Glen","1990",112140,"Median Family Income"
"12. Forest Glen","2000",114127.446,"Median Family Income"
"12. Forest Glen","2010",120298.067,"Median Family Income"
"12. Forest Glen","2008 - 2012",127983.450753852,"Median Family Income"
"12. Forest Glen","2013 - 2017",134538.337568413,"Median Family Income"
"13. North Park","1970",86415.45,"Median Family Income"
"13. North Park","1980",77249.65,"Median Family Income"
"13. North Park","1990",84466.875,"Median Family Income"
"13. North Park","2000",83934.232,"Median Family Income"
"13. North Park","2010",80489.921,"Median Family Income"
"13. North Park","2008 - 2012",75694.3891931765,"Median Family Income"
"13. North Park","2013 - 2017",81561.5974472263,"Median Family Income"
"14. Albany Park","1970",69542.51,"Median Family Income"
"14. Albany Park","1980",58864.382,"Median Family Income"
"14. Albany Park","1990",57705,"Median Family Income"
"14. Albany Park","2000",61857.81,"Median Family Income"
"14. Albany Park","2010",59346.689090858,"Median Family Income"
"14. Albany Park","2008 - 2012",56158.6394375576,"Median Family Income"
"14. Albany Park","2013 - 2017",65544.0324194146,"Median Family Income"
"15. Portage Park","1970",75189.96,"Median Family Income"
"15. Portage Park","1980",69597.548,"Median Family Income"
"15. Portage Park","1990",76228.125,"Median Family Income"
"15. Portage Park","2000",75603.99,"Median Family Income"
"15. Portage Park","2010",68046.398,"Median Family Income"
"15. Portage Park","2008 - 2012",70424.8242814864,"Median Family Income"
"15. Portage Park","2013 - 2017",71187.8223559422,"Median Family Income"
"16. Irving Park","1970",71012.74,"Median Family Income"
"16. Irving Park","1980",62718.686,"Median Family Income"
"16. Irving Park","1990",64989.375,"Median Family Income"
"16. Irving Park","2000",67519.927,"Median Family Income"
"16. Irving Park","2010",77770.3093333708,"Median Family Income"
"16. Irving Park","2008 - 2012",66857.2348988105,"Median Family Income"
"16. Irving Park","2013 - 2017",72938.3282117287,"Median Family Income"
"17. Dunning","1970",76533.99,"Median Family Income"
"17. Dunning","1980",72702.404,"Median Family Income"
"17. Dunning","1990",77900.625,"Median Family Income"
"17. Dunning","2000",80805.055,"Median Family Income"
"17. Dunning","2010",82857.908,"Median Family Income"
"17. Dunning","2008 - 2012",78338.2049044104,"Median Family Income"
"17. Dunning","2013 - 2017",78838.8721700718,"Median Family Income"
"18. Montclare","1970",73827,"Median Family Income"
"18. Montclare","1980",71393.844,"Median Family Income"
"18. Montclare","1990",75714.375,"Median Family Income"
"18. Montclare","2000",74724.576,"Median Family Income"
"18. Montclare","2010",66172.69,"Median Family Income"
"18. Montclare","2008 - 2012",58781.1514083878,"Median Family Income"
"18. Montclare","2013 - 2017",66028.7198994027,"Median Family Income"
"19. Belmont Cragin","1970",71952.93,"Median Family Income"
"19. Belmont Cragin","1980",66159.604,"Median Family Income"
"19. Belmont Cragin","1990",65180.625,"Median Family Income"
"19. Belmont Cragin","2000",65366.928,"Median Family Income"
"19. Belmont Cragin","2010",52083.4491764772,"Median Family Income"
"19. Belmont Cragin","2008 - 2012",49517.7768057241,"Median Family Income"
"19. Belmont Cragin","2013 - 2017",51901.7818062749,"Median Family Income"
"20. Hermosa","1970",68141.69,"Median Family Income"
"20. Hermosa","1980",56856.932,"Median Family Income"
"20. Hermosa","1990",55346.25,"Median Family Income"
"20. Hermosa","2000",58270.427,"Median Family Income"
"20. Hermosa","2010",50728.1806666292,"Median Family Income"
"20. Hermosa","2008 - 2012",47741.1470967742,"Median Family Income"
"20. Hermosa","2013 - 2017",46762.431054919,"Median Family Income"
"21. Avondale","1970",66223.45,"Median Family Income"
"21. Avondale","1980",56934.256,"Median Family Income"
"21. Avondale","1990",55185,"Median Family Income"
"21. Avondale","2000",54613.317,"Median Family Income"
"21. Avondale","2010",57875.2096,"Median Family Income"
"21. Avondale","2008 - 2012",55431.3555087001,"Median Family Income"
"21. Avondale","2013 - 2017",54467.6677308134,"Median Family Income"
"22. Logan Square","1970",62563.65,"Median Family Income"
"22. Logan Square","1980",48250.176,"Median Family Income"
"22. Logan Square","1990",44842.5,"Median Family Income"
"22. Logan Square","2000",52530.045,"Median Family Income"
"22. Logan Square","2010",70056.089185206,"Median Family Income"
"22. Logan Square","2008 - 2012",70869.1048766974,"Median Family Income"
"22. Logan Square","2013 - 2017",87413.7041593848,"Median Family Income"
"23. Humboldt Park","1970",59768.32,"Median Family Income"
"23. Humboldt Park","1980",43009.988,"Median Family Income"
"23. Humboldt Park","1990",39930,"Median Family Income"
"23. Humboldt Park","2000",42867.875,"Median Family Income"
"23. Humboldt Park","2010",39923.7306666292,"Median Family Income"
"23. Humboldt Park","2008 - 2012",35333.7212468459,"Median Family Income"
"23. Humboldt Park","2013 - 2017",38864.0594687232,"Median Family Income"
"24. West Town","1970",50612.51,"Median Family Income"
"24. West Town","1980",38584.676,"Median Family Income"
"24. West Town","1990",38497.5,"Median Family Income"
"24. West Town","2000",56653.899,"Median Family Income"
"24. West Town","2010",87974.8805333708,"Median Family Income"
"24. West Town","2008 - 2012",96240.6552674103,"Median Family Income"
"24. West Town","2013 - 2017",113502.224714047,"Median Family Income"
"25. Austin","1970",67081.61,"Median Family Income"
"25. Austin","1980",49267.284,"Median Family Income"
"25. Austin","1990",52860,"Median Family Income"
"25. Austin","2000",53658.484,"Median Family Income"
"25. Austin","2010",42441.2096666292,"Median Family Income"
"25. Austin","2008 - 2012",42082.8627193608,"Median Family Income"
"25. Austin","2013 - 2017",43390.7720584593,"Median Family Income"
"26. West Garfield Park","1970",47526.92,"Median Family Income"
"26. West Garfield Park","1980",32482.028,"Median Family Income"
"26. West Garfield Park","1990",32193.75,"Median Family Income"
"26. West Garfield Park","2000",38290.084,"Median Family Income"
"26. West Garfield Park","2010",29707.7696,"Median Family Income"
"26. West Garfield Park","2008 - 2012",27912.244317734,"Median Family Income"
"26. West Garfield Park","2013 - 2017",27932.6474758934,"Median Family Income"
"27. East Garfield Park","1970",53363.67,"Median Family Income"
"27. East Garfield Park","1980",28794.268,"Median Family Income"
"27. East Garfield Park","1990",26814.375,"Median Family Income"
"27. East Garfield Park","2000",38684.255,"Median Family Income"
"27. East Garfield Park","2010",31930.873,"Median Family Income"
"27. East Garfield Park","2008 - 2012",30041.8582430804,"Median Family Income"
"27. East Garfield Park","2013 - 2017",31291.5393176869,"Median Family Income"
"28. Near West Side","1970",37935.72,"Median Family Income"
"28. Near West Side","1980",22409.09,"Median Family Income"
"28. Near West Side","1990",19252.5,"Median Family Income"
"28. Near West Side","2000",46705.706,"Median Family Income"
"28. Near West Side","2010",93440.5928,"Median Family Income"
"28. Near West Side","2008 - 2012",100908.652751929,"Median Family Income"
"28. Near West Side","2013 - 2017",117264.662688016,"Median Family Income"
"29. North Lawndale","1970",43993.32,"Median Family Income"
"29. North Lawndale","1980",29448.548,"Median Family Income"
"29. North Lawndale","1990",26641.875,"Median Family Income"
"29. North Lawndale","2000",28820.019,"Median Family Income"
"29. North Lawndale","2010",29203.6930666292,"Median Family Income"
"29. North Lawndale","2008 - 2012",28820.8558619798,"Median Family Income"
"29. North Lawndale","2013 - 2017",30428.4331994298,"Median Family Income"
"30. South Lawndale","1970",57067.64,"Median Family Income"
"30. South Lawndale","1980",48803.34,"Median Family Income"
"30. South Lawndale","1990",43610.625,"Median Family Income"
"30. South Lawndale","2000",45987.091,"Median Family Income"
"30. South Lawndale","2010",39260.8828888764,"Median Family Income"
"30. South Lawndale","2008 - 2012",34905.9775695142,"Median Family Income"
"30. South Lawndale","2013 - 2017",33798.1189052935,"Median Family Income"
"31. Lower West Side","1970",53994.67,"Median Family Income"
"31. Lower West Side","1980",43084.338,"Median Family Income"
"31. Lower West Side","1990",41490,"Median Family Income"
"31. Lower West Side","2000",41111.893,"Median Family Income"
"31. Lower West Side","2010",45654.7341818284,"Median Family Income"
"31. Lower West Side","2008 - 2012",41830.1244505706,"Median Family Income"
"31. Lower West Side","2013 - 2017",43790.2133118311,"Median Family Income"
"32. Loop","1970",132061.99,"Median Family Income"
"32. Loop","1980",79673.46,"Median Family Income"
"32. Loop","1990",132729.375,"Median Family Income"
"32. Loop","2000",148582.545,"Median Family Income"
"32. Loop","2010",156921.1904,"Median Family Income"
"32. Loop","2008 - 2012",151059.975299476,"Median Family Income"
"32. Loop","2013 - 2017",153070.494817485,"Median Family Income"
"33. Near South Side","1970",33152.74,"Median Family Income"
"33. Near South Side","1980",21787.524,"Median Family Income"
"33. Near South Side","1990",12982.5,"Median Family Income"
"33. Near South Side","2000",70784.289,"Median Family Income"
"33. Near South Side","2010",104592.696,"Median Family Income"
"33. Near South Side","2008 - 2012",126501.548846351,"Median Family Income"
"33. Near South Side","2013 - 2017",161752.203309243,"Median Family Income"
"34. Armour Square","1970",49438.85,"Median Family Income"
"34. Armour Square","1980",45237.514,"Median Family Income"
"34. Armour Square","1990",39669.375,"Median Family Income"
"34. Armour Square","2000",40531.309,"Median Family Income"
"34. Armour Square","2010",45146.8088,"Median Family Income"
"34. Armour Square","2008 - 2012",34193.8904207207,"Median Family Income"
"34. Armour Square","2013 - 2017",33495.3563183475,"Median Family Income"
"35. Douglas","1970",39500.6,"Median Family Income"
"35. Douglas","1980",25510.972,"Median Family Income"
"35. Douglas","1990",19831.875,"Median Family Income"
"35. Douglas","2000",36599.56,"Median Family Income"
"35. Douglas","2010",60349.246,"Median Family Income"
"35. Douglas","2008 - 2012",57049.9887998831,"Median Family Income"
"35. Douglas","2013 - 2017",42471.3047058824,"Median Family Income"
"36. Oakland","1970",30786.49,"Median Family Income"
"36. Oakland","1980",16520.57,"Median Family Income"
"36. Oakland","1990",10368.75,"Median Family Income"
"36. Oakland","2000",24060.084,"Median Family Income"
"36. Oakland","2010",27274.984,"Median Family Income"
"36. Oakland","2008 - 2012",37489.8295588235,"Median Family Income"
"36. Oakland","2013 - 2017",38041.9918699187,"Median Family Income"
"37. Fuller Park","1970",40964.52,"Median Family Income"
"37. Fuller Park","1980",32116.226,"Median Family Income"
"37. Fuller Park","1990",24963.75,"Median Family Income"
"37. Fuller Park","2000",42529.201,"Median Family Income"
"37. Fuller Park","2010",34160.046,"Median Family Income"
"37. Fuller Park","2008 - 2012",33464.7083096085,"Median Family Income"
"37. Fuller Park","2013 - 2017",37466.3461538462,"Median Family Income"
"38. Grand Boulevard","1970",35613.64,"Median Family Income"
"38. Grand Boulevard","1980",20654.43,"Median Family Income"
"38. Grand Boulevard","1990",14383.125,"Median Family Income"
"38. Grand Boulevard","2000",25840.257,"Median Family Income"
"38. Grand Boulevard","2010",47445.3369231288,"Median Family Income"
"38. Grand Boulevard","2008 - 2012",45069.9566099958,"Median Family Income"
"38. Grand Boulevard","2013 - 2017",46511.8244115809,"Median Family Income"
"39. Kenwood","1970",50814.43,"Median Family Income"
"39. Kenwood","1980",48000.36,"Median Family Income"
"39. Kenwood","1990",59913.75,"Median Family Income"
"39. Kenwood","2000",61977.342,"Median Family Income"
"39. Kenwood","2010",86243.958,"Median Family Income"
"39. Kenwood","2008 - 2012",71081.4863394962,"Median Family Income"
"39. Kenwood","2013 - 2017",73208.9455488332,"Median Family Income"
"40. Washington Park","1970",41311.57,"Median Family Income"
"40. Washington Park","1980",24261.892,"Median Family Income"
"40. Washington Park","1990",17692.5,"Median Family Income"
"40. Washington Park","2000",24125.542,"Median Family Income"
"40. Washington Park","2010",32139.8433333708,"Median Family Income"
"40. Washington Park","2008 - 2012",27585.7428450039,"Median Family Income"
